epoch,lr-AdamW,step,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5
,0.001,0,,,,,,,,
0,,37,,,,,5.274684906005859,0.4999786913394928,2.8181800842285156,5.113536834716797
0,,37,5.310103893280029,0.14878670871257782,1.0442804098129272,1.5540114641189575,,,,
,0.001,38,,,,,,,,
1,,75,,,,,4.977322101593018,1.4546018838882446,8.595780372619629,12.219857215881348
1,,75,5.186131954193115,0.7370675206184387,2.646003484725952,5.061706066131592,,,,
,0.001,76,,,,,,,,
2,,113,,,,,4.555731773376465,5.871553897857666,12.920051574707031,22.311370849609375
2,,113,4.819950103759766,2.229086399078369,6.736729145050049,9.905487060546875,,,,
,0.001,114,,,,,,,,
3,,151,,,,,4.144782066345215,12.109569549560547,23.790151596069336,33.863468170166016
3,,151,4.323102951049805,5.9788289070129395,15.374422073364258,22.99887466430664,,,,
,0.001,152,,,,,,,,
4,,189,,,,,3.7236626148223877,20.596452713012695,36.71751022338867,47.38994216918945
4,,189,3.8508141040802,11.403282165527344,26.90149688720703,39.307037353515625,,,,
,0.001,190,,,,,,,,
5,,227,,,,,3.319704294204712,27.917015075683594,56.241092681884766,66.21829223632812
5,,227,3.417436122894287,21.309207916259766,42.83306884765625,56.13870620727539,,,,
,0.001,228,,,,,,,,
6,,265,,,,,3.040400505065918,34.242713928222656,60.54612731933594,72.2198486328125
6,,265,2.996725082397461,36.352943420410156,61.964805603027344,72.48249816894531,,,,
,0.001,266,,,,,,,,
7,,303,,,,,2.624023675918579,47.617469787597656,68.8838119506836,75.83646392822266
7,,303,2.6056113243103027,48.35087585449219,76.18898010253906,84.76538848876953,,,,
,0.001,304,,,,,,,,
8,,341,,,,,2.3908374309539795,54.1578483581543,76.14510345458984,82.86878204345703
8,,341,2.28102970123291,56.77328872680664,79.69937896728516,90.98635864257812,,,,
,0.001,342,,,,,,,,
9,,379,,,,,2.148132562637329,61.34090042114258,80.82674407958984,85.36833953857422
9,,379,1.9848411083221436,64.73672485351562,86.44156646728516,93.58917999267578,,,,
,0.001,380,,,,,,,,
10,,417,,,,,1.9377574920654297,64.599609375,80.73898315429688,88.6182861328125
10,,417,1.7432374954223633,70.82154083251953,90.16883087158203,95.59202575683594,,,,
,0.001,418,,,,,,,,
11,,455,,,,,1.7348766326904297,64.9901351928711,81.42192840576172,86.35717010498047
11,,455,1.433037519454956,78.56644439697266,94.56705474853516,97.50045013427734,,,,
,0.001,456,,,,,,,,
12,,493,,,,,1.5078028440475464,76.42420959472656,85.45569610595703,91.55049133300781
12,,493,1.205493450164795,85.29075622558594,97.51534271240234,98.92308807373047,,,,
,0.001,494,,,,,,,,
13,,531,,,,,1.4323910474777222,74.76593017578125,85.9973373413086,89.9561538696289
13,,531,0.9787575006484985,89.9708480834961,98.42515563964844,99.02767944335938,,,,
,0.001,532,,,,,,,,
14,,569,,,,,1.2630754709243774,76.68666076660156,88.96803283691406,92.45220947265625
14,,569,0.8306355476379395,92.84858703613281,99.55391693115234,99.691162109375,,,,
,0.001,570,,,,,,,,
15,,607,,,,,1.2025870084762573,77.97406768798828,88.28911590576172,92.70964813232422
15,,607,0.6991212368011475,93.67488861083984,99.4151382446289,99.82002258300781,,,,
,0.001,608,,,,,,,,
16,,645,,,,,1.0562881231307983,79.41641998291016,91.95598602294922,93.23197174072266
16,,645,0.6092312335968018,94.49100494384766,99.7818603515625,99.7818603515625,,,,
,0.001,646,,,,,,,,
17,,683,,,,,0.9858171939849854,81.31501770019531,92.30818939208984,96.28089904785156
17,,683,0.4927480220794678,95.62127685546875,99.60794067382812,100.0,,,,
,0.001,684,,,,,,,,
18,,721,,,,,0.962772786617279,80.4046630859375,90.47847747802734,93.76632690429688
18,,721,0.44904825091362,96.59782409667969,99.79744720458984,100.0,,,,
,0.001,722,,,,,,,,
19,,759,,,,,0.8731348514556885,81.70110321044922,91.97814178466797,95.01251983642578
19,,759,0.38912856578826904,97.92692565917969,99.67288208007812,99.67288208007812,,,,
20,,760,,,,,0.8731348514556885,81.70110321044922,91.97814178466797,95.01251983642578
